rfam_family	seq_count	noncanonical_count	canonical_count
RF00001	140644	837	139807
RF00002	4940	54	4886
RF00003	11696	85	11611
RF00004	16770	163	16607
RF00005	1430083	1800	1428283
RF00006	637	0	637
RF00007	593	3	590
RF00008	325	0	325
RF00009	1353	19	1334
RF00010	6481	67	6414
RF00011	790	2	788
RF00012	4011	24	3987
RF00013	3786	3	3783
RF00014	40	0	40
RF00015	8462	22	8440
RF00016	1200	8	1192
RF00017	42477	1084	41393
RF00018	292	1	291
RF00019	8625	5	8620
RF00020	7704	40	7664
RF00021	208	0	208
RF00022	234	0	234
RF00023	6693	67	6626
RF00024	114	5	109
RF00025	24	0	24
RF00026	47589	200	47389
RF00027	1479	0	1479
RF00028	2611	22	2589
RF00029	15729	64	15665
RF00030	1128	9	1119
RF00031	672	1	671
RF00032	30503	45	30458
RF00033	42	0	42
RF00034	98	0	98
RF00035	17	0	17
RF00036	85	1	84
RF00037	1909	1	1908
RF00038	12	0	12
RF00039	8	0	8
RF00040	111	0	111
RF00041	60	0	60
RF00042	63	0	63
RF00043	11	0	11
RF00044	5	0	5
RF00045	579	4	575
RF00046	225	0	225
RF00047	490	0	490
RF00048	61	0	61
RF00049	898	2	896
RF00050	4223	23	4200
RF00051	1003	0	1003
RF00052	30	0	30
RF00053	525	1	524
RF00054	386	0	386
RF00055	397	0	397
RF00056	424	3	421
RF00057	287	0	287
RF00058	15	0	15
RF00059	10206	12	10194
RF00060	11	0	11
RF00061	55	5	50
RF00062	18	0	18
RF00063	16	0	16
RF00064	19	0	19
RF00065	11	0	11
RF00066	2980	4	2976
RF00067	287	1	286
RF00068	103	0	103
RF00069	795	0	795
RF00070	124	2	122
RF00071	178	0	178
RF00072	106	1	105
RF00073	486	0	486
RF00074	533	0	533
RF00075	918	0	918
RF00076	346	0	346
RF00077	14	0	14
RF00078	130	0	130
RF00079	169	1	168
RF00080	832	2	830
RF00081	70	0	70
RF00082	127	0	127
RF00083	121	0	121
RF00084	42	0	42
RF00085	88	0	88
RF00086	79	1	78
RF00087	87	0	87
RF00088	98	1	97
RF00089	248	0	248
RF00090	274	1	273
RF00091	398	2	396
RF00092	241	0	241
RF00093	671	2	669
RF00094	40	2	38
RF00095	49	0	49
RF00096	430	2	428
RF00097	60610	71	60539
RF00099	255	2	253
RF00100	15277	227	15050
RF00101	198	0	198
RF00102	135	3	132
RF00103	561	0	561
RF00104	763	0	763
RF00105	1216	0	1216
RF00106	151	0	151
RF00107	17	0	17
RF00108	857	2	855
RF00109	179	0	179
RF00110	123	0	123
RF00111	239	1	238
RF00112	105	0	105
RF00113	54	0	54
RF00114	632	0	632
RF00115	17	0	17
RF00116	9	0	9
RF00117	10	0	10
RF00118	56	0	56
RF00119	7	0	7
RF00121	22	0	22
RF00122	7	0	7
RF00124	9	0	9
RF00125	7	0	7
RF00126	32	0	32
RF00127	801	0	801
RF00128	130	1	129
RF00129	420	0	420
RF00130	202	1	201
RF00131	624	0	624
RF00132	521	0	521
RF00133	559	2	557
RF00134	324	0	324
RF00135	394	0	394
RF00136	107	0	107
RF00137	259	1	258
RF00138	224	4	220
RF00139	363	2	361
RF00140	562	0	562
RF00142	251	0	251
RF00143	77	0	77
RF00144	367	0	367
RF00145	247	2	245
RF00147	457	1	456
RF00149	1469	2	1467
RF00150	179	0	179
RF00151	455	2	453
RF00152	151	1	150
RF00153	166	1	165
RF00154	150	0	150
RF00155	252	1	251
RF00156	1333	8	1325
RF00157	202	0	202
RF00158	141	2	139
RF00159	59	0	59
RF00160	555	1	554
RF00161	15	1	14
RF00162	6161	4	6157
RF00163	190679	621	190058
RF00164	45	1	44
RF00165	55	0	55
RF00166	139	2	137
RF00167	2660	2	2658
RF00168	2261	1	2260
RF00169	4719	10	4709
RF00170	22	0	22
RF00171	17	1	16
RF00172	98	0	98
RF00173	6	0	6
RF00174	14022	49	13973
RF00175	87	2	85
RF00176	21	0	21
RF00177	22178	699	21479
RF00178	252	0	252
RF00179	40	0	40
RF00180	49	0	49
RF00181	1426	0	1426
RF00182	21	0	21
RF00183	53	0	53
RF00184	5	0	5
RF00185	88	0	88
RF00186	140	1	139
RF00187	99	0	99
RF00188	317	1	316
